"geometry","species","max_relative_drift"
"AR 1.00 - 0.5x","Cdc42",7.44589575181938e-13
"AR 1.00 - 0.5x","Rac",5.52446977053478e-13
"AR 1.00 - 0.5x","Rho",4.26239688705767e-12
"AR 1.00 - 1x","Cdc42",7.67349147186754e-13
"AR 1.00 - 1x","Rac",7.11371702285154e-13
"AR 1.00 - 1x","Rho",2.11816227640098e-12
"AR 1.00 - 2x","Cdc42",1.6153745008296e-13
"AR 1.00 - 2x","Rac",1.52648264399128e-13
"AR 1.00 - 2x","Rho",2.70163819631043e-12
"AR 1.29 - 0.5x","Cdc42",2.30759855668339e-12
"AR 1.29 - 0.5x","Rac",2.10012747932827e-12
"AR 1.29 - 0.5x","Rho",6.23114463253167e-12
"AR 1.29 - 1x","Cdc42",4.08747110232828e-13
"AR 1.29 - 1x","Rac",4.06904140011951e-13
"AR 1.29 - 1x","Rho",3.4810863868892e-13
"AR 1.29 - 2x","Cdc42",1.36538928311817e-12
"AR 1.29 - 2x","Rac",1.55857549088978e-12
"AR 1.29 - 2x","Rho",2.66138365825628e-12
