"geometry","time","cdc42_ratio","cdc42_contrast","rac_ratio","rac_contrast","rho_front_back_ratio","rho_separation","cdc42_boundary_mean","rac_boundary_mean","rho_boundary_mean","cdc42_peaks","rac_peaks","cdc42_dominance","cdc42_peak_position"
"AR 1.00 - 0.5x",0,1,0,1,0,1,0,1,3,1.25,0,0,,0.59375
"AR 1.00 - 0.5x",1,1.36095521453477,0.152885244206504,1.10397411415829,0.0494179626349102,0.851071382815138,0.21318782228506,1.09306958742673,3.0907276946313,1.19914070449234,1,1,Inf,0.99375
"AR 1.00 - 0.5x",2,1.67154326637002,0.251369040068921,1.26409989603798,0.116646750658014,0.680764618015767,0.2130354322104,1.15828342649968,3.22566871048964,1.14225194646052,1,1,Inf,0.99375
"AR 1.00 - 0.5x",3,2.02811174294671,0.339522392243767,1.45977178747214,0.186916440709583,0.539617766773108,0.218990280077331,1.21395732156563,3.37020212854897,1.10325536108035,1,1,Inf,0.99375
"AR 1.00 - 0.5x",4,2.45212926017261,0.420647418080748,1.7018748816518,0.259773273151238,0.428824344853029,0.23139878341873,1.25210122966473,3.5031525831466,1.08869572601789,1,1,Inf,0.99375
"AR 1.00 - 0.5x",5,2.96868179646864,0.496054331748236,2.00462880004446,0.334360370914902,0.34618632032613,0.248802942116086,1.26947691715986,3.60485655725677,1.10112853384807,1,1,Inf,0.99375
"AR 1.00 - 0.5x",6,3.60013976326524,0.565230601041484,2.38494648904947,0.409148709892422,0.286436509704386,0.268915598893997,1.26871957998171,3.66571589840142,1.13847959295455,1,1,Inf,0.99375
"AR 1.00 - 0.5x",7,4.34912324312796,0.626106950784989,2.85685824413591,0.481443217924624,0.243684592823179,0.289186035782053,1.2566306803589,3.68785503733895,1.193014107223,1,1,Inf,0.99375
"AR 1.00 - 0.5x",8,5.1942438410987,0.677119588555743,3.42626589186463,0.548151862346102,0.212747419774443,0.307398058429313,1.24272002436214,3.68506132963031,1.25002705216956,1,1,Inf,0.99375
"AR 1.00 - 0.5x",9,6.10898472773687,0.718665874720947,4.09222423954535,0.607244318805064,0.189573698506327,0.322288225767775,1.23466859983022,3.67718502626089,1.29528582179215,1,1,Inf,0.99375
"AR 1.00 - 0.5x",10,7.08710282125304,0.752692646030916,4.85604114143587,0.658472344764024,0.171348560411182,0.33202242851251,1.2348199547747,3.67932729629671,1.32491246180175,1,1,Inf,0.99375
"AR 1.00 - 0.5x",11,7.17933826535801,0.755481441760318,5.56461230790547,0.695336159061292,0.181908986338879,0.333826478719356,1.11113273104319,3.60443705213138,1.36728760063182,1,1,Inf,0.98125
"AR 1.00 - 0.5x",12,7.99032102739717,0.777538533506736,6.4414991084888,0.731236949592788,0.183205694449218,0.340440038361121,1.1097745759392,3.60463184175323,1.38645792512804,1,1,Inf,0.93125
"AR 1.00 - 0.5x",13,8.83590617581675,0.796663371503346,7.40862014357478,0.762148846558582,0.176034400445972,0.346063162332593,1.11927979242607,3.6318469086946,1.39186929869609,1,1,Inf,0.93125
"AR 1.00 - 0.5x",14,9.72518526603824,0.813523034764436,8.47464294715151,0.788910251166638,0.166720005601155,0.348796404787579,1.1316198739291,3.66913540925055,1.3939346962651,1,1,Inf,0.46875
"AR 1.00 - 0.5x",15,10.6685820645501,0.828599568573449,9.66154475505112,0.812409923144349,0.157436559061467,0.343746330292795,1.14481414529881,3.71030910383281,1.39539138644076,1,1,Inf,0.46875
"AR 1.00 - 0.5x",16,11.6617041603346,0.842043379416065,10.9807997337151,0.833066235605975,0.148845237171071,0.34044373225278,1.15828251501314,3.75242592047496,1.39634531496018,1,1,Inf,0.46875
"AR 1.00 - 0.5x",17,12.6938465051211,0.853948998241505,12.4334837690088,0.851118292589594,0.14108710610751,0.338317377726227,1.17173731620863,3.79404375828618,1.39669776632736,1,1,Inf,0.48125
"AR 1.00 - 0.5x",18,13.7537641279564,0.864441373560373,14.013995009979,0.866790950798191,0.134131719384939,0.336870647547946,1.18499734963571,3.83435862184744,1.39655550437137,1,1,Inf,0.48125
"AR 1.00 - 0.5x",19,14.8315437800055,0.873669932143578,15.7131431683178,0.880333700258651,0.127901680071541,0.335871924544958,1.19795379160569,3.87294936718124,1.39593411216717,1,1,Inf,0.48125
