"geometry","time","species","relative_x","value"
"AR 1.00 - 0.5x",10,"cdc42_act",0.01,0.287487815459415
"AR 1.00 - 0.5x",10,"cdc42_act",0.03,0.292359631576645
"AR 1.00 - 0.5x",10,"cdc42_act",0.05,0.29764063163057
"AR 1.00 - 0.5x",10,"cdc42_act",0.07,0.302626681970845
"AR 1.00 - 0.5x",10,"cdc42_act",0.09,0.307578008313905
"AR 1.00 - 0.5x",10,"cdc42_act",0.11,0.314022262204065
"AR 1.00 - 0.5x",10,"cdc42_act",0.13,0.317906424451427
"AR 1.00 - 0.5x",10,"cdc42_act",0.15,0.322504247985109
"AR 1.00 - 0.5x",10,"cdc42_act",0.17,0.326502772442725
"AR 1.00 - 0.5x",10,"cdc42_act",0.19,0.331495253945412
"AR 1.00 - 0.5x",10,"cdc42_act",0.21,0.339975909420294
"AR 1.00 - 0.5x",10,"cdc42_act",0.23,0.347923000969861
"AR 1.00 - 0.5x",10,"cdc42_act",0.25,0.359103955300843
"AR 1.00 - 0.5x",10,"cdc42_act",0.27,0.37554982581619
"AR 1.00 - 0.5x",10,"cdc42_act",0.29,0.406875338789615
"AR 1.00 - 0.5x",10,"cdc42_act",0.31,0.487318689226068
"AR 1.00 - 0.5x",10,"cdc42_act",0.33,0.592559503568484
"AR 1.00 - 0.5x",10,"cdc42_act",0.35,0.740727154432966
"AR 1.00 - 0.5x",10,"cdc42_act",0.37,0.90560558765837
"AR 1.00 - 0.5x",10,"cdc42_act",0.39,1.04383728476579
"AR 1.00 - 0.5x",10,"cdc42_act",0.41,1.21007628379085
"AR 1.00 - 0.5x",10,"cdc42_act",0.43,1.30090710185379
"AR 1.00 - 0.5x",10,"cdc42_act",0.45,1.38413163563077
"AR 1.00 - 0.5x",10,"cdc42_act",0.47,1.45649092282177
"AR 1.00 - 0.5x",10,"cdc42_act",0.49,1.5209155830888
"AR 1.00 - 0.5x",10,"cdc42_act",0.51,1.61510852026287
"AR 1.00 - 0.5x",10,"cdc42_act",0.53,1.68090828892215
"AR 1.00 - 0.5x",10,"cdc42_act",0.55,1.74753500817019
"AR 1.00 - 0.5x",10,"cdc42_act",0.57,1.81680366985951
"AR 1.00 - 0.5x",10,"cdc42_act",0.59,1.88266647047024
"AR 1.00 - 0.5x",10,"cdc42_act",0.61,1.94225554125309
"AR 1.00 - 0.5x",10,"cdc42_act",0.63,1.96971585248694
"AR 1.00 - 0.5x",10,"cdc42_act",0.65,1.99128286887078
"AR 1.00 - 0.5x",10,"cdc42_act",0.67,2.0104238513158
"AR 1.00 - 0.5x",10,"cdc42_act",0.69,2.02835588844688
"AR 1.00 - 0.5x",10,"cdc42_act",0.71,2.05195864594574
"AR 1.00 - 0.5x",10,"cdc42_act",0.73,2.0704121146542
"AR 1.00 - 0.5x",10,"cdc42_act",0.75,2.08938619087966
"AR 1.00 - 0.5x",10,"cdc42_act",0.77,2.10802582086936
"AR 1.00 - 0.5x",10,"cdc42_act",0.79,2.12972895038328
"AR 1.00 - 0.5x",10,"cdc42_act",0.81,2.1595681543177
"AR 1.00 - 0.5x",10,"cdc42_act",0.83,2.18274179591544
"AR 1.00 - 0.5x",10,"cdc42_act",0.85,2.20679737358487
"AR 1.00 - 0.5x",10,"cdc42_act",0.87,2.2326679081439
"AR 1.00 - 0.5x",10,"cdc42_act",0.89,2.25897519029154
"AR 1.00 - 0.5x",10,"cdc42_act",0.91,2.29396048461072
"AR 1.00 - 0.5x",10,"cdc42_act",0.93,2.32135564472634
"AR 1.00 - 0.5x",10,"cdc42_act",0.95,2.34454069447277
"AR 1.00 - 0.5x",10,"cdc42_act",0.97,2.36819721029411
"AR 1.00 - 0.5x",10,"cdc42_act",0.99,2.38685586701376
"AR 1.00 - 0.5x",10,"Rac_act",0.01,1.14214244794261
"AR 1.00 - 0.5x",10,"Rac_act",0.03,1.16069756469668
"AR 1.00 - 0.5x",10,"Rac_act",0.05,1.18225321167145
